Parcela,X,Y,Huso,Riqueza observada
BMBNDIE1,725584,6009648,UTM 18S,15
BMBNDIE2,725661,6010192,UTM 18S,8
BMBNDIE3,725515,6010219,UTM 18S,9
BMBNDIE5,725250,6010317,UTM 18S,5
BMBNMIR2,727241,6013933,UTM 18S,6
BMBNMIR3,727505,6013896,UTM 18S,6
BMBNMIR4,727617.7723,6013784.953,UTM 18S,12
BMBNMIR5,727031.6413,6013914.195,UTM 18S,5
bn molco 01 agosto,736237.74,6035662.79,UTM 18S,1
BNMIR1,727666,6013679,UTM 18S,4
BNMolco02,735919.53,6035415.95,UTM 18S,2
BNMOLCO1,735712.9368,6033755.356,UTM 18S,10
BNMOLCO2,735719.6738,6033631.448,UTM 18S,5
BNMOLCO3,735612.701,6033608.196,UTM 18S,6
Camino Turinge 115,722458,6004084,UTM 18S,10
Camino Turinge 116,722792,6004003,UTM 18S,10
Camino Turinge 117,723441,6004391,UTM 18S,12
Camino Turinge 118,723271,6004218,UTM 18S,8
El Nativo 12,712711,5988335,UTM 18S,12
El Nativo 3,712325,5988375,UTM 18S,9
El Nativo 8,712958,5988477,UTM 18S,5
El Nativo 9,712876,5988186,UTM 18S,11
ELNATIVONOV20201,712931,5987774,UTM 18S,5
ELNATIVONOV20202,712611,5987748,UTM 18S,8
ELNATIVONOV20203,712737,5987882,UTM 18S,9
ELNATIVONOV20204,712756,5988107,UTM 18S,8
ENEA01-ENERO,728942.8736,6018501.985,UTM 18S,6
ENEA02-N,729134.6214,6018321.767,UTM 18S,5
ENEA03-N,729385.9897,6018166.186,UTM 18S,5
ENEA04N,729445.623,6017920.286,UTM 18S,7
ENEA05N,729860.8351,6018422.769,UTM 18S,5
GEDI 11,736879.6,6034102.4,UTM 18S,5
GEDI 12,735448.8,6035359.3,UTM 18S,6
GEDI 13,735403.9,6035321,UTM 18S,8
GEDI 14,735316.9,6035246.3,UTM 18S,3
GEDI 15,734201.9,6032658.2,UTM 18S,5
GEDI 16,734116.9,6032585,UTM 18S,5
GEDI-1,713363.5,5988802,UTM 18S,7
GEDI-10,713492.8,5988912.9,UTM 18S,10
GEDI-3,712931.3,5988283.9,UTM 18S,7
GEDI-4,735426.4,6028628.6,UTM 18S,6
GEDI-5,734016.2,6027587,UTM 18S,6
GEDI-6,734130.5,6027520.8,UTM 18S,6
GEDI-7,734329.4,6030118.2,UTM 18S,7
GEDI-8,731987.7,6028662.4,UTM 18S,6
lacapilla1,732337,6027462,UTM 18S,5
LA-ELDEA-01,728326,6017334,UTM 18S,7
LA-ELDEA-02,730005,6018261,UTM 18S,6
LA-ELDEA-03,730138,6017997,UTM 18S,4
LA-ELDEA-04,729721,6018753,UTM 18S,5
LA-ELDEA-05,729603,6018784,UTM 18S,3
LA-ELDEA-06,727317,6016549,UTM 18S,2
LA-ELDEA-07,727363,6016407,UTM 18S,6
LA-ELDEA-08,727526,6016415,UTM 18S,7
MOLLONOV20201,735391,6035357,UTM 18S,8
MOLLONOV20202,735173,6035321,UTM 18S,8
Nativo 106,713266,5988734,UTM 18S,13
Nativo 108,713343,5988927,UTM 18S,5
Nativo 109,713146,5988954,UTM 18S,9
Nativo 112,713048,5988808,UTM 18S,10
P1BNMOLCO,734477.7,6032743.7,UTM 18S,7
P2BNMOLCO,735501.1,6035339.3,UTM 18S,2
P3BNMOLCO,735557.2,6035330.5,UTM 18S,4
PA 003,712831.3079,5987917.881,UTM 18S,9
PA 004,712972.8497,5988344.978,UTM 18S,5
playa blanca 01,734485.71,6032615.48,UTM 18S,9
playa blanca 02,734161.08,6032583.73,UTM 18S,4
Playa blanca 3-1,734637.92,6032701.36,UTM 18S,8
quirihue_bn_07_08_2019,724195.82,5984153.27,UTM 18S,6
quirihueBN02,724406.1,5983999.36,UTM 18S,6
quirihueBN03,724702.94,5984194.68,UTM 18S,8
SANESTEBAN1,734401,6030305,UTM 18S,5
SANESTEBAN2,734389,6030159,UTM 18S,9
SANESTEBAN3,734306,6030217,UTM 18S,4
SANESTEBAN4,734226,6030319,UTM 18S,6
Turingia_BN_01,722257,6002999.57,UTM 18S,3
Turingia_BN_02,722038.94,6002974,UTM 18S,7
Turingia_BN_03,722238.61,6003915.29,UTM 18S,8
