Parcela,Riqueza observada,REGION,PROVINCIA,COMUNA,coastal,blue,green,red,nir08,swir16,swir22,ndvi
BMBNDIE1,15,Maule,Cauquenes,Cauquenes,8963.0,9309.0,10378.0,11266.0,16707.0,17619.0,14620.0,0.19450899081256925
BMBNDIE2,8,Maule,Cauquenes,Cauquenes,8561.0,8843.0,9696.0,10156.0,16708.0,15742.0,12506.0,0.24389517569982133
BMBNDIE3,9,Maule,Cauquenes,Cauquenes,8561.0,8843.0,9696.0,10156.0,16708.0,15742.0,12506.0,0.24389517569982133
BMBNDIE5,5,Maule,Cauquenes,Cauquenes,8849.0,9185.0,10141.0,10681.0,17280.0,17546.0,13750.0,0.23600729587639926
BMBNMIR2,6,Maule,Cauquenes,Cauquenes,8392.0,8661.0,9448.0,9756.0,15114.0,15346.0,12234.0,0.21544028950542823
BMBNMIR3,6,Maule,Cauquenes,Cauquenes,8554.0,8796.0,9515.0,10042.0,15158.0,15555.0,12620.0,0.203015873015873
BMBNMIR4,12,Maule,Cauquenes,Cauquenes,7785.0,7895.0,8399.0,8204.0,15283.0,10590.0,8881.0,0.3014007748967514
BMBNMIR5,5,Maule,Cauquenes,Cauquenes,8554.0,8796.0,9515.0,10042.0,15158.0,15555.0,12620.0,0.203015873015873
bn molco 01 agosto,1,Maule,Cauquenes,Chanco,8234.0,8492.0,9563.0,9407.0,20014.0,14206.0,10963.0,0.3605247952143027
BNMIR1,4,Maule,Cauquenes,Cauquenes,8157.0,8342.0,9078.0,9034.0,14782.0,12395.0,10313.0,0.2413503527040645
BNMolco02,2,Maule,Cauquenes,Chanco,9677.0,10265.0,11464.0,11701.0,17270.0,16080.0,13925.0,0.19222670946808879
BNMOLCO1,10,Maule,Cauquenes,Chanco,8034.0,8172.0,8781.0,8539.0,16641.0,12115.0,9569.0,0.32176330420969024
BNMOLCO2,5,Maule,Cauquenes,Chanco,8009.0,8206.0,8886.0,8906.0,15500.0,12404.0,10104.0,0.27017946406621324
BNMOLCO3,6,Maule,Cauquenes,Chanco,7877.0,8032.0,8655.0,8363.0,16793.0,11568.0,9361.0,0.3351089203370965
Camino Turinge 115,10,Ñuble,Itata,Quirihue,7505.0,7574.0,7982.0,7727.0,15359.0,9469.0,8186.0,0.33058996794594125
Camino Turinge 116,10,Ñuble,Itata,Quirihue,7686.0,7835.0,8484.0,8287.0,15361.0,10778.0,8982.0,0.29913734776725304
Camino Turinge 117,12,Maule,Cauquenes,Cauquenes,7534.0,7654.0,8184.0,7881.0,17299.0,9854.0,8330.0,0.3740270055599682
Camino Turinge 118,8,Ñuble,Itata,Quirihue,7514.0,7594.0,7964.0,7698.0,15682.0,9245.0,8040.0,0.3414884516680924
El Nativo 12,12,Ñuble,Itata,Quirihue,8347.0,8712.0,9700.0,10185.0,15850.0,15208.0,12495.0,0.2175917034760899
El Nativo 3,9,Ñuble,Itata,Quirihue,7645.0,7796.0,8396.0,8173.0,15028.0,10812.0,9117.0,0.2954614025257532
El Nativo 8,5,Ñuble,Itata,Quirihue,7662.0,7822.0,8429.0,8230.0,15280.0,10843.0,9092.0,0.29987239472564864
El Nativo 9,11,Ñuble,Itata,Quirihue,8600.0,8986.0,10134.0,10911.0,16674.0,15960.0,13215.0,0.2089178901576944
ELNATIVONOV20201,5,Ñuble,Itata,Quirihue,7517.0,7636.0,8155.0,7879.0,16535.0,9897.0,8388.0,0.35455066764970916
ELNATIVONOV20202,8,Ñuble,Itata,Quirihue,7488.0,7585.0,8148.0,7855.0,16718.0,9857.0,8354.0,0.3606804216009441
ELNATIVONOV20203,9,Ñuble,Itata,Quirihue,7503.0,7579.0,8032.0,7764.0,16392.0,9573.0,8225.0,0.3571783407848982
ELNATIVONOV20204,8,Ñuble,Itata,Quirihue,8970.0,9427.0,10431.0,11125.0,16477.0,16863.0,14236.0,0.19389899282660678
ENEA01-ENERO,6,Maule,Cauquenes,Cauquenes,8254.0,8380.0,8959.0,9039.0,14329.0,12970.0,11251.0,0.2263779527559055
ENEA02-N,5,Maule,Cauquenes,Cauquenes,8197.0,8336.0,8890.0,8969.0,14297.0,13194.0,11396.0,0.22900369638098514
ENEA03-N,5,Maule,Cauquenes,Cauquenes,8441.0,8656.0,9455.0,9841.0,14656.0,14992.0,12863.0,0.19655468016491814
ENEA04N,7,Maule,Cauquenes,Cauquenes,8404.0,8651.0,9523.0,9904.0,15176.0,15051.0,12721.0,0.210207336523126
ENEA05N,5,Maule,Cauquenes,Cauquenes,8285.0,8425.0,9035.0,9123.0,14533.0,13526.0,11645.0,0.2286946229286439
GEDI 11,5,Maule,Cauquenes,Cauquenes,7938.0,8097.0,8763.0,8607.0,15559.0,11982.0,9605.0,0.2876769014317636
GEDI 12,6,Maule,Cauquenes,Chanco,8678.0,9121.0,10258.0,10433.0,16351.0,13747.0,11723.0,0.22095280764635603
GEDI 13,8,Maule,Cauquenes,Chanco,8282.0,8572.0,9618.0,9510.0,17484.0,13821.0,11165.0,0.29539897755056677
GEDI 14,3,Maule,Cauquenes,Chanco,8162.0,8352.0,9463.0,8921.0,20362.0,14582.0,10859.0,0.3907045043199126
GEDI 15,5,Maule,Cauquenes,Cauquenes,7939.0,8338.0,9514.0,9813.0,17172.0,14238.0,11694.0,0.27270705947748747
GEDI 16,5,Maule,Cauquenes,Cauquenes,7853.0,8093.0,8913.0,8705.0,18295.0,12622.0,9937.0,0.35518518518518516
GEDI-1,7,Ñuble,Itata,Quirihue,7592.0,7709.0,8327.0,7997.0,14530.0,10591.0,8764.0,0.29000754649975585
GEDI-10,10,Ñuble,Itata,Quirihue,7611.0,7725.0,8341.0,8067.0,15366.0,10987.0,8938.0,0.311483804890539
GEDI-3,7,Ñuble,Itata,Quirihue,8243.0,8506.0,9373.0,9500.0,15829.0,12779.0,10696.0,0.24987168857830944
GEDI-4,6,Maule,Cauquenes,Cauquenes,8230.0,8521.0,9303.0,9528.0,15569.0,13835.0,11678.0,0.24070606048531698
GEDI-5,6,Maule,Cauquenes,Cauquenes,8107.0,8354.0,9142.0,9497.0,13923.0,12475.0,11397.0,0.18898377455166523
GEDI-6,6,Maule,Cauquenes,Cauquenes,7958.0,8152.0,8826.0,8877.0,14564.0,11907.0,10547.0,0.24260910370717972
GEDI-7,7,Maule,Cauquenes,Cauquenes,7989.0,8245.0,9026.0,9106.0,14528.0,13786.0,10957.0,0.22941524921722942
GEDI-8,6,Maule,Cauquenes,Cauquenes,8258.0,8541.0,9275.0,9777.0,13797.0,14061.0,12013.0,0.17052685161618733
lacapilla1,5,Maule,Cauquenes,Cauquenes,8421.0,8598.0,9349.0,9583.0,15508.0,13964.0,12166.0,0.23614044876648999
LA-ELDEA-01,7,Maule,Cauquenes,Cauquenes,8823.0,9114.0,10063.0,10958.0,13791.0,16936.0,14954.0,0.11446927148571659
LA-ELDEA-02,6,Maule,Cauquenes,Cauquenes,8335.0,8503.0,9171.0,9506.0,13855.0,13642.0,11942.0,0.1861649758143915
LA-ELDEA-03,4,Maule,Cauquenes,Cauquenes,8356.0,8587.0,9460.0,9838.0,15507.0,14668.0,12510.0,0.2236733083448412
LA-ELDEA-04,5,Maule,Cauquenes,Cauquenes,7926.0,8011.0,8405.0,8307.0,12285.0,10626.0,9341.0,0.19318181818181818
LA-ELDEA-05,3,Maule,Cauquenes,Cauquenes,7847.0,7935.0,8282.0,8230.0,11211.0,10249.0,9198.0,0.1533357337585515
LA-ELDEA-06,2,Maule,Cauquenes,Cauquenes,8588.0,8885.0,9875.0,11003.0,13597.0,16141.0,14215.0,0.10544715447154472
LA-ELDEA-07,6,Maule,Cauquenes,Cauquenes,8672.0,8984.0,10017.0,11145.0,13814.0,16497.0,14406.0,0.10693537401338195
LA-ELDEA-08,7,Maule,Cauquenes,Cauquenes,8650.0,8943.0,9966.0,11136.0,13781.0,16320.0,14270.0,0.10615242605450094
MOLLONOV20201,8,Maule,Cauquenes,Chanco,8678.0,9121.0,10258.0,10433.0,16351.0,13747.0,11723.0,0.22095280764635603
MOLLONOV20202,8,Maule,Cauquenes,Chanco,8282.0,8572.0,9618.0,9510.0,17484.0,13821.0,11165.0,0.29539897755056677
Nativo 106,13,Ñuble,Itata,Quirihue,7518.0,7619.0,8173.0,7859.0,14408.0,9955.0,8507.0,0.2941123635873715
Nativo 108,5,Ñuble,Itata,Quirihue,7611.0,7725.0,8341.0,8067.0,15366.0,10987.0,8938.0,0.311483804890539
Nativo 109,9,Ñuble,Itata,Quirihue,7618.0,7738.0,8404.0,8098.0,16150.0,11218.0,9045.0,0.33206862421643024
Nativo 112,10,Ñuble,Itata,Quirihue,7592.0,7709.0,8327.0,7997.0,14530.0,10591.0,8764.0,0.29000754649975585
P1BNMOLCO,7,Maule,Cauquenes,Chanco,8562.0,8952.0,10087.0,10443.0,15427.0,13983.0,12384.0,0.19265558562040974
P2BNMOLCO,2,Maule,Cauquenes,Chanco,8282.0,8572.0,9618.0,9510.0,17484.0,13821.0,11165.0,0.29539897755056677
P3BNMOLCO,4,Maule,Cauquenes,Chanco,8282.0,8572.0,9618.0,9510.0,17484.0,13821.0,11165.0,0.29539897755056677
PA 003,9,Ñuble,Itata,Quirihue,7844.0,7994.0,8724.0,8587.0,17278.0,11186.0,9475.0,0.3360139184225788
PA 004,5,Ñuble,Itata,Quirihue,8347.0,8712.0,9700.0,10185.0,15850.0,15208.0,12495.0,0.2175917034760899
playa blanca 01,9,Maule,Cauquenes,Cauquenes,7842.0,8233.0,9370.0,9580.0,18207.0,14186.0,11470.0,0.3104689243171267
playa blanca 02,4,Maule,Cauquenes,Cauquenes,7853.0,8093.0,8913.0,8705.0,18295.0,12622.0,9937.0,0.35518518518518516
Playa blanca 3-1,8,Maule,Cauquenes,Chanco,8822.0,9246.0,10483.0,10750.0,17020.0,14959.0,13296.0,0.22578321930140438
quirihue_bn_07_08_2019,6,Ñuble,Itata,Quirihue,7593.0,7743.0,8355.0,8061.0,14323.0,10285.0,8686.0,0.27975339528234455
quirihueBN02,6,Ñuble,Itata,Quirihue,7793.0,8021.0,8728.0,8688.0,13279.0,11319.0,9541.0,0.208995311148541
quirihueBN03,8,Ñuble,Itata,Quirihue,7926.0,8179.0,8894.0,8918.0,13958.0,11378.0,9677.0,0.22031823745410037
SANESTEBAN1,5,Maule,Cauquenes,Cauquenes,8094.0,8289.0,9005.0,9067.0,15412.0,12022.0,10082.0,0.25920176477797296
SANESTEBAN2,9,Maule,Cauquenes,Cauquenes,7721.0,7893.0,8625.0,8319.0,14853.0,11169.0,9234.0,0.28197824961160023
SANESTEBAN3,4,Maule,Cauquenes,Cauquenes,7786.0,7995.0,8783.0,8639.0,14453.0,11749.0,9683.0,0.25177550666897625
SANESTEBAN4,6,Maule,Cauquenes,Cauquenes,8094.0,8289.0,9005.0,9067.0,15412.0,12022.0,10082.0,0.25920176477797296
Turingia_BN_01,3,Ñuble,Itata,Quirihue,8150.0,8366.0,9213.0,9474.0,14614.0,13590.0,11286.0,0.21338425772168715
Turingia_BN_02,7,Ñuble,Itata,Quirihue,8150.0,8366.0,9213.0,9474.0,14614.0,13590.0,11286.0,0.21338425772168715
Turingia_BN_03,8,Ñuble,Itata,Quirihue,7743.0,7900.0,8654.0,8449.0,16701.0,11205.0,9217.0,0.3281113320079523
